codigo,descricao
38101,156 G
38102,156G
38201,164 G
38202,164G
38301,56 G
38302,56G
38401,66 G
38402,66G
38501,335 G
38502,335G
38601,196 G
38602,196G
38701,44 G
38702,44G
38801,36 G
38802,36G
38803,36GR
38804,36 GR
38805,36 GRAMAS
38901,25 L
39001,20.000 L
39101,200 L
39201,6 L
39202,6 000 ML
39301,14 G
39302,14G
39303,14 GR
39401,105 G
39402,105G
39403,105 GR
39404,105GR
39501,147 G
39502,147G
39503,147GRG
39601,13 G
39602,13G
39701,"2,25 L"
39801,510 ML
39802,510ML
39901,12 KG
40001,100 KG
